Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons That We Sold To Others (From 'Jobs Quoted')","Quoted Tons That We Sold (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')","Quoted Tons That We Sold To Others (From 'Quoted Vs. Sold')","Quoted Tons That We Sold (From 'Quoted Vs. Sold')"
"HERRICK CORPORATION",-0.1,4445.89009789,-0.3,-0.4,8930.84,8930.94,8930.84
"SUNSTEEL LLC",-0.1,4424.41749336,-0.5,-0.6,5864.02,5864.12,5864.02
"NORTH STAR INDUSTRIES, INC.",179.128459739,4366.444299542,298.869996415999,477.998456154999,10753.89,10067.531540261,10246.66
"PROSTEEL INC.",248.07254949,5602.748694461,105.338577347998,353.411126837998,10123.07,9186.94745051,9435.02
"STEEL ENCOUNTERS - NW",1104.80024318,10412.027255284,72.3799359240056,1177.18017910401,21301.76,16019.37975682,17124.18
"PANELIZED STRUCTURES-NEVADA",2142.9113767,5520.35410101,-964.1464615,1178.7649152,12873.58,4871.8286233,7014.74
"PANELIZED STRUCTURES, INC",9928.38477253,35481.38113141,-17.2962677500254,9911.08850477997,47266.34,21690.87522747,31619.26
"R & A ROOF STRUCTURES",551.6283454,15393.779854313,2242.9865219,2794.6148673,24308.12,18878.7116546,19430.34
"AFCO STEEL",-0.1,1495.3954086,-0.1,-0.2,3179.14,3179.24,3179.14
"SCHUFF STEEL MIDWEST DIV.",-0.1,747.6977043,0,-0.1,3179.14,3179.24,3179.14
"NEW MILLENNIUM- IN",-0.1,4178.3167954,-0.9,-1,6913.38,6913.48,6913.38
"TOMBARI STRUCTURAL PRODUCTS",103.005404222,3310.743967458,79.8054391850004,182.810843407,6473.81,6016.844595778,6119.85
"BEN HUR STEEL WORX ",-0.1,1341.4606934,-0.1,-0.2,3734.24,3734.34,3734.24
"LYNDON STEEL CO ",-0.1,7019.9269908,-0.5,-0.6,6709.41,6709.51,6709.41
"PKM STEEL SERVICE",-0.1,2843.02717686,-0.7,-0.8,4099.17,4099.27,4099.17
"HME, INC",-0.1,2682.8213868,-0.4,-0.5,3927.03,3927.13,3927.03
"RIGID GLOBAL BUILDINGS",-0.1,2702.730433725,-0.5,-0.6,3765.05,3765.15,3765.05
"CENTER-LINE COMPANY",468.795132206,8425.878700083,605.977430436001,1074.772562642,11660.75,9603.874867794,10072.67
"STEEL ENCOUNTERS, INC",2408.037185568,20431.746793581,1380.99726044003,3789.03444600803,26835.57,16455.762814432,18863.8
"JD2, INC.",263.24690966,6468.92260829,146.190712069999,409.437621729999,6643.01,5550.17309034,5813.42
