Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')","Sold Percentage (From 'Jobs Quoted')"
"R & A ROOF STRUCTURES",551.6283454,15394.179854313,24308.12,0.0358335650629319
"DUKE PACIFIC, INC.",1451.04219423,16073.88555854,21715.62,0.0902732689582368
"MIKE OWENS FABRICATION",0,352.958072806,463.09,0
"DA WHITACRE CONSTRUCTION",0,373.21750867,597.65,0
"WEST COAST IRON - CA",0,251.697859927,271.83,0
"SCHUFF STEEL - SAN DIEGO",0,75.5607667,163.22,0
"MECHANICAL INDUSTRIES, INC.",3.58,193.72006869,281.97,0.0184802742648666
"PARADIGM STEEL FABRICATORS",30.7044392,341.48496464,545.62,0.0899144688035364
"LSC SUPERIOR BUILDERS",0,124.5778969,134.54,0
"BELL BROS STEEL, INC",0,355.89300689,384.3,0
"CORE CONTRACTING INC.",0,101.5979664,124.56,0
"PROJECT STEEL COMPANY, INC.",111.04918382,164.78058839,196.04,0.673921515301126
"SMITH IRONWORKS",0,133.99813886,144.73,0
"TALLEY METAL FABRICATION ",0,53.381889126,61.55,0
"ICON STRUCTURES",0,96.3934691,114.79,0
"RAM STRUCTURAL STEEL",0,48.19673455,58.05,0
"CROSS STEEL",0,48.17371052,52.18,0
"FIERRO ENTERPRISES, INC.",0,92.01055808,99.47,0
"KDR STEEL & MISC. METALS",34.73545456,164.63702004,129.85,0.210982041290353
"EXBON DEVELOPMENT INC ",0,24.72703159,34.88,0
"FACILITY MAKERS INC",0,93.86386372,101.22,0
"AFAKORI INC.",0,57.04461495,51.77,0
"VERDA STEEL GROUP",28.27907646,29.19364949,31.53,0.968672192549504
"KERN STEEL FABRICATION",0,60.327398131,63.87,0
"CLARK STEEL FABRICATORS",0,28.79597163,31.1,0
"J&D FABRICATION & REPAIR",0,19.14386082,20.68,0
"ALLEYS WELDING INC",0,19.25710126,19.64,0
"RAZCO METAL ",0,14.97364873,16.17,0
"SCHROEDER IRON CORPORATION",0,12.35714957,13.45,0
"WASHINGTON IRON WORKS",0,12.35714957,13.45,0
"WYNRIGHT (ILLINOIS)",5.769528717,6.632341623,20.27,0.869908253367425
"VALLEY IRON FAB. ERECTORS",3.4,11.092769832,15.39,0.306505954012659
"STEEL TECH INDUSTRIAL CORP.",0,0.849166065,0.92,0
"CALCO CONSTRUCTION SERVICES",0,0,0,0
"INFINITY METALS INC",0,7.139599264,0,0
"MCINTYRE METAL DECKING ",0,0,0,0
"PACIFIC COAST IRON",0,0,0,0
"A2I SYSTEMS",0,0,0,0
"ROCKY POINT IRON INC",0,0,0,0
"CAMPBELL CERTIFIED, INC.",0,0,0,0
"PRECISION IRON FAB ",0,0,0,0
